SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC1=CC=C(C=C1)/C(=C\CCCNC)/C=C;3/000000086;InChI=1S/C14H19NO/c1-3-12(6-4-5-11-15-2)13-7-9-14(16)10-8-13/h3,6-10,15-16H,1,4-5,11H2,2H3/b12-6-;C14H19NO;217;2.68;3.25;-3.81;5.09;-20
OC1=CC=CC(=C1)/C=C/CCC1=NN=C(S1)S;3/000000250;InChI=1S/C12H12N2OS2/c15-10-6-3-5-9(8-10)4-1-2-7-11-13-14-12(16)17-11/h1,3-6,8,15H,2,7H2,(H,14,16)/b4-1+;C12H12N2OS2;264;3.44;3.35;-8.38;3.58;0
OC1=CC=C(C=C1CBr)C1=CCC=C(N1)CC(=O)OC;3/000000371;InChI=1S/C15H16BrNO3/c1-20-15(19)8-12-3-2-4-13(17-12)10-5-6-14(18)11(7-10)9-16/h3-7,17-18H,2,8-9H2,1H3;C15H16NO3Br;338;3.40;3.70;-7.12;3.58;-180
OC1=CC=C(C=C1)CC#CC1C(I)=CN=C(C=1Cl)N;3/000000132;InChI=1S/C14H10ClIN2O/c15-13-11(12(16)8-18-14(13)17)3-1-2-9-4-6-10(19)7-5-9/h4-8,19H,2H2,(H2,17,18);C14H10N2OClI;384;4.38;4.10;-9.57;16.40;0
OC1=CC=C(C=C1)C(=C)/C=C/[C@H]1SCCNC1;3/000000061;InChI=1S/C14H17NOS/c1-11(12-3-5-13(16)6-4-12)2-7-14-10-15-8-9-17-14/h2-7,14-16H,1,8-10H2/b7-2+/t14-/m1/s1;C14H17NOS;247;2.59;3.20;-11.63;3.58;-150
OC1=CC=C(C(=C1)C(=O)CO)C1=C(Cl)C=NN1;3/000000113;InChI=1S/C11H9ClN2O3/c12-9-4-13-14-11(9)7-2-1-6(16)3-8(7)10(17)5-15/h1-4,15-16H,5H2,(H,13,14);C11H9N2O3Cl;252;1.68;3.62;-6.92;5.09;-120
OC1=CC=CC(=C1)/C=C/CNN;3/000000282;InChI=1S/C9H12N2O/c10-11-6-2-4-8-3-1-5-9(12)7-8/h1-5,7,11-12H,6,10H2/b4-2+;C9H12N2O;164;1.12;3.46;-4.23;2.22;0
OC1=CC=C(C(=C1)C1=C[N]C(=[NH2])N1)C(=C)/C=C/CC;3/000000306;InChI=1S/C15H17N3O/c1-3-4-5-10(2)12-7-6-11(19)8-13(12)14-9-17-15(16)18-14/h4-9,18-19H,2-3,16H2,1H3/b5-4+;C15H17N3O;255;2.46;3.86;-11.00;5.09;-140
OC1=CC=CC(=C1)/C=C/[C@H](CS(=O)(=O)O)C;3/000000253;InChI=1S/C11H14O4S/c1-9(8-16(13,14)15)5-6-10-3-2-4-11(12)7-10/h2-7,9,12H,8H2,1H3,(H,13,14,15)/b6-5+/t9-/m1/s1;C11H14O4S;242;1.39;3.45;-3.30;3.58;-170
S[C@@](CS=O)(C)C1=NN=CN1;3/000000001;InChI=1S/C5H9N3OS2/c1-5(10,2-11-9)4-6-3-7-8-4/h3,10-11H,2H2,1H3,(H,6,7,8)/t5-/m1/s1;C5H9N3OS2;191;-0.02;3.08;-2.49;2.22;-170
OC1=CC=C(C=C1)C(=C)/C=C\[C@@H]1NC1;3/000000123;InChI=1S/C12H13NO/c1-9(2-5-11-8-13-11)10-3-6-12(14)7-4-10/h2-7,11,13-14H,1,8H2/b5-2-/t11-/m0/s1;C12H13NO;187;2.06;3.02;-7.66;3.58;-190
OC1=CC=C(C=C1)C(=C)/C=C/C[C@H](CO)N;3/000000299;InChI=1S/C13H17NO2/c1-10(3-2-4-12(14)9-15)11-5-7-13(16)8-6-11/h2-3,5-8,12,15-16H,1,4,9,14H2/b3-2+/t12-/m1/s1;C13H17NO2;219;1.26;3.13;-9.79;5.09;-150
OC1C=C(NC(=O)NCC)C(=CC=1)C(=C)C=C;3/000000139;InChI=1S/C13H16N2O2/c1-4-9(3)11-7-6-10(16)8-12(11)15-13(17)14-5-2/h4,6-8,16H,1,3,5H2,2H3,(H2,14,15,17);C13H16N2O2;232;1.88;3.20;-8.87;3.58;-20
